Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Distance_bin,Total Space
Airport West,3,t,Nelson,9/3/2016,13.5,3042,3,2,1,303,Western Metropolitan,3464,840000,Nearby,9
Albert Park,2,h,hockingstuart,9/3/2016,3.3,3206,2,1,0,120,Southern Metropolitan,3280,1275000,Nearby,5
Albert Park,2,h,Thomson,9/3/2016,3.3,3206,2,1,0,159,Southern Metropolitan,3280,1455000,Nearby,5
Alphington,4,h,Brace,9/3/2016,6.4,3078,3,2,4,853,Northern Metropolitan,2211,2000000,Nearby,13
Alphington,3,h,Jellis,9/3/2016,6.4,3078,3,2,2,208,Northern Metropolitan,2211,1110000,Nearby,10
Altona,3,h,Greg,9/3/2016,13.8,3018,3,2,1,352,Western Metropolitan,5301,520000,Nearby,9
Altona North,5,h,FN,9/3/2016,11.1,3025,5,3,6,592,Western Metropolitan,5132,1085000,Nearby,19
Altona North,3,h,Jas,9/3/2016,11.1,3025,3,1,2,533,Western Metropolitan,5132,781000,Nearby,9
Altona North,4,h,hockingstuart,9/3/2016,11.1,3025,3,3,1,537,Western Metropolitan,5132,857500,Nearby,11
Armadale,2,u,Jellis,9/3/2016,6.3,3143,2,1,1,50,Southern Metropolitan,4836,599000,Nearby,6
Ascot Vale,2,u,Nelson,9/3/2016,5.9,3032,3,1,2,50,Western Metropolitan,6567,455000,Nearby,8
Ashburton,4,h,Marshall,9/3/2016,11,3147,4,3,2,753,Southern Metropolitan,3052,2650000,Nearby,13
Ashburton,2,h,Marshall,9/3/2016,11,3147,3,3,1,593,Southern Metropolitan,3052,1820000,Nearby,9
Ashwood,2,h,Tim,9/3/2016,12.2,3147,2,1,1,583,Southern Metropolitan,2894,995000,Nearby,6
Avondale Heights,4,h,Jellis,9/3/2016,10.5,3034,3,3,1,537,Western Metropolitan,4502,1310000,Nearby,11
Avondale Heights,3,h,Moonee,9/3/2016,10.5,3034,3,1,1,593,Western Metropolitan,4502,850000,Nearby,8
Avondale Heights,3,h,Moonee,9/3/2016,10.5,3034,3,1,1,50,Western Metropolitan,4502,750000,Nearby,8
Balaclava,4,h,Gary,9/3/2016,6.6,3183,3,2,1,244,Southern Metropolitan,2952,1819000,Nearby,10
Balwyn,2,h,Marshall,9/3/2016,9.7,3103,2,1,1,659,Southern Metropolitan,5682,2100000,Nearby,6
Balwyn,4,h,Marshall,9/3/2016,9.7,3103,4,2,2,715,Southern Metropolitan,5682,1800000,Nearby,12
Balwyn,2,t,Noel,9/3/2016,9.7,3103,2,1,1,208,Southern Metropolitan,5682,1255000,Nearby,6
Balwyn North,3,t,hockingstuart,9/3/2016,9.2,3104,3,2,2,260,Southern Metropolitan,7809,1315000,Nearby,10
Balwyn North,3,h,Jellis,9/3/2016,9.2,3104,3,2,1,778,Southern Metropolitan,7809,1500000,Nearby,9
Balwyn North,4,h,Jellis,9/3/2016,9.2,3104,4,4,3,1135,Southern Metropolitan,7809,3230000,Nearby,15
Balwyn North,2,h,Jellis,9/3/2016,9.2,3104,2,1,1,253,Southern Metropolitan,7809,1080000,Nearby,6
Balwyn North,4,u,hockingstuart,9/3/2016,9.2,3104,1,1,1,50,Southern Metropolitan,7809,1450000,Nearby,7
Balwyn North,2,h,Fletchers,9/3/2016,9.2,3104,3,3,1,593,Southern Metropolitan,7809,1305000,Nearby,9
Bentleigh,2,u,hockingstuart,9/3/2016,13,3204,2,1,2,202,Southern Metropolitan,6795,636000,Nearby,7
Bentleigh,2,h,Woodards,9/3/2016,13,3204,2,1,2,599,Southern Metropolitan,6795,1275000,Nearby,7
Bentleigh,3,u,hockingstuart,9/3/2016,13,3204,3,1,2,348,Southern Metropolitan,6795,875000,Nearby,9
Bentleigh,4,t,hockingstuart,9/3/2016,13,3204,3,3,1,267,Southern Metropolitan,6795,1230000,Nearby,11
Bentleigh,3,t,Ray,9/3/2016,13,3204,3,2,2,362,Southern Metropolitan,6795,895000,Nearby,10
Bentleigh,3,t,C21,9/3/2016,13,3204,3,3,1,267,Southern Metropolitan,6795,1020000,Nearby,10
Bentleigh East,2,h,hockingstuart,9/3/2016,13.9,3165,2,1,2,768,Southern Metropolitan,10969,1410000,Nearby,7
Bentleigh East,3,t,Buxton,9/3/2016,13.9,3165,3,3,1,267,Southern Metropolitan,10969,990000,Nearby,10
Bentleigh East,3,h,Buxton,9/3/2016,13.9,3165,3,3,1,593,Southern Metropolitan,10969,1057000,Nearby,10
Bentleigh East,3,t,hockingstuart,9/3/2016,13.9,3165,3,1,2,287,Southern Metropolitan,10969,760000,Nearby,9
Bentleigh East,2,h,Buxton,9/3/2016,13.9,3165,2,2,1,176,Southern Metropolitan,10969,825000,Nearby,7
Box Hill,4,h,hockingstuart,9/3/2016,13.1,3128,4,2,2,697,Eastern Metropolitan,4605,1620000,Nearby,12
Braybrook,3,h,Barry,9/3/2016,10.8,3019,3,2,4,700,Western Metropolitan,3589,870000,Nearby,12
Braybrook,2,h,Barry,9/3/2016,10.8,3019,2,1,1,566,Western Metropolitan,3589,645000,Nearby,6
Brighton,3,h,Buxton,9/3/2016,11.2,3186,3,2,2,663,Southern Metropolitan,10579,1550000,Nearby,10
Brighton,3,h,Buxton,9/3/2016,11.2,3186,3,1,2,366,Southern Metropolitan,10579,1635000,Nearby,9
Brighton East,4,h,hockingstuart,9/3/2016,10.7,3187,4,2,2,682,Southern Metropolitan,6938,1940000,Nearby,12
Brighton East,4,h,Nick,9/3/2016,10.7,3187,4,2,2,617,Southern Metropolitan,6938,1850000,Nearby,12
Brighton East,2,h,Nick,9/3/2016,10.7,3187,3,3,1,593,Southern Metropolitan,6938,1060000,Nearby,9
Brighton East,3,h,Marshall,9/3/2016,10.7,3187,3,1,1,329,Southern Metropolitan,6938,930000,Nearby,8
Brighton East,5,h,Gary,9/3/2016,10.7,3187,3,3,1,593,Southern Metropolitan,6938,1952000,Nearby,12
Brunswick,2,u,Brad,9/3/2016,5.2,3056,2,1,2,50,Northern Metropolitan,11918,428000,Nearby,7
Brunswick,2,h,Nelson,9/3/2016,5.2,3056,2,1,0,225,Northern Metropolitan,11918,1026000,Nearby,5
Brunswick West,2,u,Peter,9/3/2016,5.9,3055,2,1,1,50,Northern Metropolitan,7082,521500,Nearby,6
Bulleen,3,u,Jellis,9/3/2016,11.8,3105,3,1,2,385,Eastern Metropolitan,4480,851000,Nearby,9
Bulleen,4,h,Jellis,9/3/2016,11.8,3105,4,1,2,717,Eastern Metropolitan,4480,1300000,Nearby,11
Bulleen,4,h,Barry,9/3/2016,11.8,3105,3,2,2,562,Eastern Metropolitan,4480,1110000,Nearby,11
Bulleen,4,h,Jellis,9/3/2016,11.8,3105,4,2,2,556,Eastern Metropolitan,4480,1235000,Nearby,12
Burwood,5,h,Jellis,9/3/2016,11.7,3125,4,3,2,661,Southern Metropolitan,5678,1590000,Nearby,14
Camberwell,4,h,Jellis,9/3/2016,7.8,3124,4,2,1,652,Southern Metropolitan,8920,2650000,Nearby,11
Camberwell,3,t,Marshall,9/3/2016,7.8,3124,3,1,2,389,Southern Metropolitan,8920,1615000,Nearby,9
Camberwell,4,h,RT,9/3/2016,7.8,3124,4,3,2,934,Southern Metropolitan,8920,3225000,Nearby,13
Canterbury,4,h,Marshall,9/3/2016,9,3126,4,2,2,687,Southern Metropolitan,3265,2950000,Nearby,12
Carlton North,3,h,Nelson,9/3/2016,3.2,3054,3,1,1,314,Northern Metropolitan,3106,1330000,Nearby,8
Carnegie,3,u,Ray,9/3/2016,11.4,3163,3,1,2,50,Southern Metropolitan,7822,820000,Nearby,9
Carnegie,2,t,Gary,9/3/2016,11.4,3163,2,2,1,133,Southern Metropolitan,7822,795000,Nearby,7
Caulfield,2,u,Gary,9/3/2016,8.9,3162,2,1,1,50,Southern Metropolitan,2379,722500,Nearby,6
Caulfield North,3,h,McGrath,9/3/2016,8.1,3161,3,1,0,513,Southern Metropolitan,6923,1365000,Nearby,7
Caulfield North,3,h,Marshall,9/3/2016,8.1,3161,3,2,2,692,Southern Metropolitan,6923,1750000,Nearby,10
Caulfield South,3,h,hockingstuart,9/3/2016,9.3,3162,3,2,2,357,Southern Metropolitan,5051,1577500,Nearby,10
Caulfield South,4,h,Gary,9/3/2016,9.3,3162,3,3,1,593,Southern Metropolitan,5051,1802000,Nearby,11
Chadstone,3,t,Buxton,9/3/2016,13.6,3148,3,2,1,182,Southern Metropolitan,3582,752000,Nearby,9
Chadstone,2,u,Buxton,9/3/2016,13.6,3148,1,1,1,50,Southern Metropolitan,3582,670000,Nearby,5
Clifton Hill,3,h,Nelson,9/3/2016,3.4,3068,3,2,0,187,Northern Metropolitan,2954,1270000,Nearby,8
Coburg,2,h,Brad,9/3/2016,7.8,3058,2,1,1,371,Northern Metropolitan,11204,850000,Nearby,6
Coburg,3,h,Nelson,9/3/2016,7.8,3058,2,1,1,286,Northern Metropolitan,11204,784000,Nearby,7
Coburg North,3,h,Nelson,9/3/2016,9.2,3058,3,3,1,482,Northern Metropolitan,3445,845000,Nearby,10
Collingwood,2,t,Jellis,9/3/2016,1.6,3066,2,1,1,115,Northern Metropolitan,4553,750000,Nearby,6
Collingwood,2,h,LITTLE,9/3/2016,1.6,3066,2,1,1,178,Northern Metropolitan,4553,890000,Nearby,6
Collingwood,2,u,Jellis,9/3/2016,1.6,3066,2,1,1,50,Northern Metropolitan,4553,1260000,Nearby,6
Collingwood,2,u,Nelson,9/3/2016,1.6,3066,2,1,1,2886,Northern Metropolitan,4553,855000,Nearby,6
Doncaster,4,h,Barry,9/3/2016,13.9,3108,4,4,2,1157,Eastern Metropolitan,9028,1924500,Nearby,14
Doncaster,4,h,Barry,9/3/2016,13.9,3108,3,3,1,693.5,Eastern Metropolitan,9028,1416000,Nearby,11
Doncaster,2,u,Barry,9/3/2016,13.9,3108,2,1,1,65,Eastern Metropolitan,9028,492500,Nearby,6
Elsternwick,2,h,Gary,9/3/2016,8.5,3185,2,1,2,239,Southern Metropolitan,4898,900000,Nearby,7
Elwood,1,u,Chisholm,9/3/2016,7.7,3184,1,1,1,50,Southern Metropolitan,8989,520000,Nearby,4
Elwood,3,t,hockingstuart,9/3/2016,7.7,3184,3,2,2,1170,Southern Metropolitan,8989,1350000,Nearby,10
Essendon,3,h,Jellis,9/3/2016,8,3040,3,2,2,684,Western Metropolitan,9264,1425000,Nearby,10
Essendon,2,u,Barry,9/3/2016,8,3040,2,1,1,263,Western Metropolitan,9264,660000,Nearby,6
Essendon,2,u,Nelson,9/3/2016,8,3040,2,1,1,50,Western Metropolitan,9264,550000,Nearby,6
Essendon North,2,u,Barry,9/3/2016,9.4,3041,2,1,1,50,Western Metropolitan,1308,396000,Nearby,6
Fairfield,3,h,Jellis,9/3/2016,5.8,3078,3,2,0,327,Northern Metropolitan,2970,1250000,Nearby,8
Fitzroy,2,h,Nelson,9/3/2016,1.6,3065,2,1,0,128,Northern Metropolitan,5825,1000000,Nearby,5
Fitzroy,3,h,Nelson,9/3/2016,1.6,3065,3,2,2,50,Northern Metropolitan,5825,1252000,Nearby,10
Fitzroy North,2,u,Woodards,9/3/2016,3.5,3068,2,2,1,4332,Northern Metropolitan,6244,700000,Nearby,7
Fitzroy North,2,h,Woodards,9/3/2016,3.5,3068,2,1,0,104,Northern Metropolitan,6244,860000,Nearby,5
Fitzroy North,2,h,Nelson,9/3/2016,3.5,3068,2,1,0,107,Northern Metropolitan,6244,870000,Nearby,5
Fitzroy North,2,h,Nelson,9/3/2016,3.5,3068,3,1,0,152,Northern Metropolitan,6244,1116000,Nearby,6
Fitzroy North,4,h,Nelson,9/3/2016,3.5,3068,4,2,1,266,Northern Metropolitan,6244,1450000,Nearby,11
Fitzroy North,2,t,Nelson,9/3/2016,3.5,3068,2,3,0,2778,Northern Metropolitan,6244,930000,Nearby,7
Flemington,2,h,Nelson,9/3/2016,4.4,3031,2,1,1,168,Northern Metropolitan,3593,865500,Nearby,6
Footscray,3,t,Nelson,9/3/2016,6.4,3011,3,1,1,259,Western Metropolitan,7570,585000,Nearby,8
Footscray,1,u,Burnham,9/3/2016,6.4,3011,1,1,0,50,Western Metropolitan,7570,85000,Nearby,3
Glen Iris,3,h,hockingstuart,9/3/2016,9.2,3146,3,2,3,680,Southern Metropolitan,10412,1735000,Nearby,11
Glen Iris,2,u,Noel,9/3/2016,9.2,3146,1,1,1,50,Southern Metropolitan,10412,490000,Nearby,5
Glen Iris,2,h,Jellis,9/3/2016,9.2,3146,3,1,2,653,Southern Metropolitan,10412,1699000,Nearby,8
Glen Iris,4,h,Kay,9/3/2016,9.2,3146,4,3,2,856,Southern Metropolitan,10412,3400000,Nearby,13
Glen Iris,5,h,Abercromby's,9/3/2016,9.2,3146,4,3,2,919,Southern Metropolitan,10412,3730000,Nearby,14
Glenroy,3,t,Stockdale,9/3/2016,13,3046,2,2,1,145,Northern Metropolitan,8870,585000,Nearby,8
Glenroy,3,h,Ray,9/3/2016,13,3046,3,1,2,696,Northern Metropolitan,8870,610000,Nearby,9
Glenroy,3,t,Brad,9/3/2016,13,3046,2,2,1,145,Northern Metropolitan,8870,480000,Nearby,8
